Computer*Path
W11-Datos-01*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-02*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-03*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-04*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-05*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-06*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-07*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-08*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-09*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-10*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-11*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-12*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-13*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-14*OU=Dep-Datos,dc=altamira,dc=mylocal
W11-Datos-15*OU=Dep-Datos,dc=altamira,dc=mylocal
UD24-Soporte-01*OU=Dep-Soporte,dc=altamira,dc=mylocal
UD24-Soporte-02*OU=Dep-Soporte,dc=altamira,dc=mylocal
UD24-Soporte-03*OU=Dep-Soporte,dc=altamira,dc=mylocal
W11-Gerencia-01*OU=Dep-Gerencia,dc=altamira,dc=mylocal
W11-Gerencia-02*OU=Dep-Gerencia,dc=altamira,dc=mylocal
W11-Gerencia-03*OU=Dep-Gerencia,dc=altamira,dc=mylocal
W11-Gerencia-04*OU=Dep-Gerencia,dc=altamira,dc=mylocal
W11-Gerencia-05*OU=Dep-Gerencia,dc=altamira,dc=mylocal
W11-Gerencia-06*OU=Dep-Gerencia,dc=altamira,dc=mylocal
W11-Gerencia-07*OU=Dep-Gerencia,dc=altamira,dc=mylocal
W11-Gerencia-08*OU=Dep-Gerencia,dc=altamira,dc=mylocal
W11-Gerencia-09*OU=Dep-Gerencia,dc=altamira,dc=mylocal
UD24-Informatica-01*OU=Dep-Informatica,dc=altamira,dc=mylocal
UD24-Informatica-02*OU=Dep-Informatica,dc=altamira,dc=mylocal
UD24-Informatica-03*OU=Dep-Informatica,dc=altamira,dc=mylocal
